,index,Term,LoanStatus,BorrowerRate,ProsperRating (numeric),ProsperRating (Alpha),ProsperScore,ListingCategory (numeric),EmploymentStatus,BorrowerState,Occupation,IsBorrowerHomeowner,DelinquenciesLast7Years,StatedMonthlyIncome,TotalProsperLoans,LoanOriginalAmount,LoanOriginationDate,LoanNumber,LoanOriginationQuarter,Recommendations,CurrentDelinquencies,Investors
16096,21647,12,Completed,0.1936,3.0,D,6.0,Debt Consolidation,Employed,OH,Other,False,0.0,4.166667,0.0,4000,2011-11-30,56762,Q4 2011,0,0.0,8
16099,21651,36,Completed,0.1218,3.0,D,7.0,Debt Consolidation,Employed,IL,Teacher,False,8.0,2083.333333,2.0,1700,2009-09-17,38524,Q3 2009,0,0.0,14
16101,21653,60,Completed,0.1819,5.0,B,5.0,Debt Consolidation,Employed,CA,Professor,True,3.0,5000.0,0.0,15000,2013-05-29,91657,Q2 2013,0,0.0,58
16105,21658,36,Completed,0.1299,5.0,B,8.0,Debt Consolidation,Employed,CA,Administrative Assistant,False,0.0,3900.0,1.0,8250,2011-02-17,47021,Q1 2011,0,0.0,158
16107,21661,36,Completed,0.083,7.0,AA,9.0,Other,Employed,IL,Other,True,0.0,833.333333,0.0,5000,2010-02-22,40920,Q1 2010,0,0.0,166
16119,21676,36,Completed,0.343,2.0,E,6.0,Debt Consolidation,Employed,FL,Sales - Commission,True,0.0,5188.0,0.0,5000,2010-01-26,40582,Q1 2010,0,0.0,154
16123,21680,36,Completed,0.3177,1.0,HR,4.0,Business,Employed,FL,Other,True,0.0,3333.333333,0.0,4000,2012-08-27,72672,Q3 2012,0,3.0,17
16125,21682,36,Completed,0.1449,5.0,B,8.0,Debt Consolidation,Employed,FL,Tradesman - Electrician,False,15.0,5250.0,0.0,4000,2012-02-16,60633,Q1 2012,0,0.0,86
16126,21683,36,Defaulted,0.3177,1.0,HR,3.0,Debt Consolidation,Employed,SC,Other,False,0.0,5513.333333,0.0,3000,2012-02-24,61016,Q1 2012,0,0.0,57
16130,21687,36,Defaulted,0.2199,3.0,D,5.0,Other,Employed,SD,Other,False,25.0,3333.333333,1.0,8500,2013-03-27,86934,Q1 2013,0,1.0,110
16137,21698,36,Defaulted,0.2958,2.0,E,6.0,Other,Employed,FL,Construction,False,38.0,3041.666667,0.0,4000,2012-06-05,67331,Q2 2012,0,1.0,31
16141,21704,36,Completed,0.2958,2.0,E,6.0,Debt Consolidation,Employed,NC,Other,False,0.0,1871.083333,0.0,4000,2012-03-09,61814,Q1 2012,0,0.0,4
16143,21706,36,Completed,0.1144,4.0,C,9.0,Other,Employed,WA,Military Enlisted,False,1.0,1916.666667,1.0,1000,2010-05-07,42359,Q2 2010,0,0.0,34
16144,21707,36,Defaulted,0.3199,1.0,HR,3.0,Other,Employed,MI,Other,True,0.0,7108.333333,0.0,4000,2011-09-29,53966,Q3 2011,0,0.0,3
16145,21708,36,Completed,0.1074,6.0,A,9.0,Other,Employed,NY,Civil Service,False,1.0,3331.083333,1.0,5000,2011-11-30,56812,Q4 2011,0,0.0,48
16147,21712,60,Completed,0.1486,6.0,A,7.0,Debt Consolidation,Employed,CA,Executive,False,0.0,2333.333333,2.0,5250,2012-09-28,75307,Q3 2012,0,0.0,51
16151,21719,36,Defaulted,0.21,3.0,D,6.0,Home Improvement,Employed,FL,Fireman,True,0.0,3083.333333,0.0,1500,2010-04-21,41928,Q2 2010,0,0.0,78
16153,21722,36,Completed,0.14,6.0,A,9.0,Debt Consolidation,Employed,CA,Accountant/CPA,True,0.0,13706.25,0.0,9500,2010-07-30,43754,Q3 2010,0,0.0,252
16161,21731,36,Defaulted,0.3177,1.0,HR,3.0,Other,Employed,NJ,Professional,True,13.0,5916.666667,0.0,4000,2012-09-25,74992,Q3 2012,0,1.0,81
16162,21732,36,Completed,0.195,4.0,C,10.0,Auto,Employed,IL,Computer Programmer,True,4.0,7000.0,0.0,1000,2010-04-15,41753,Q2 2010,0,0.0,62
16168,21741,36,Completed,0.35,1.0,HR,6.0,Debt Consolidation,Employed,NM,Analyst,True,0.0,9666.666667,1.0,5000,2010-11-18,45426,Q4 2010,2,0.0,36
16169,21742,60,Completed,0.1939,5.0,B,8.0,Debt Consolidation,Self-employed,NJ,Homemaker,False,0.0,4583.333333,0.0,15000,2012-10-23,76781,Q4 2012,0,0.0,130
16175,21750,36,Completed,0.1299,6.0,A,4.0,Other,Employed,AZ,Other,True,6.0,7623.916667,0.0,25000,2013-07-11,94950,Q3 2013,0,0.0,436
16176,21751,12,Completed,0.1496,4.0,C,5.0,Debt Consolidation,Employed,NM,Attorney,True,0.0,5497.083333,1.0,3000,2011-12-29,58152,Q4 2011,0,0.0,14
16178,21753,36,Completed,0.2199,3.0,D,6.0,Other,Employed,TN,Other,True,0.0,3250.0,1.0,2200,2011-03-21,47908,Q1 2011,0,0.0,32
16182,21757,36,Completed,0.3177,1.0,HR,4.0,Debt Consolidation,Employed,GA,Analyst,False,0.0,5375.0,0.0,4000,2012-03-21,62248,Q1 2012,0,4.0,64
16184,21761,36,Completed,0.0849,7.0,AA,10.0,Other,Employed,MN,Nurse (RN),True,16.0,6250.0,1.0,4000,2013-07-17,95496,Q3 2013,0,2.0,72
16189,21766,36,Defaulted,0.3149,2.0,E,4.0,Business,Other,TX,Other,True,6.0,5041.666667,0.0,6000,2011-11-16,56224,Q4 2011,0,0.0,3
16196,21777,36,Completed,0.1939,4.0,C,4.0,Debt Consolidation,Employed,CA,Accountant/CPA,True,7.0,4500.0,0.0,6000,2013-04-30,89055,Q2 2013,0,0.0,2
16198,21783,60,Completed,0.1939,5.0,B,9.0,Debt Consolidation,Employed,MO,Accountant/CPA,False,0.0,4250.0,0.0,5000,2012-11-05,77371,Q4 2012,0,0.0,36
16202,21789,36,Completed,0.1621,5.0,B,8.0,Other,Employed,MI,Social Worker,True,1.0,4166.666667,0.0,2000,2012-01-05,58476,Q1 2012,0,0.0,26
16206,21794,36,Completed,0.083,7.0,AA,9.0,Home Improvement,Employed,CO,Other,True,0.0,4000.0,0.0,5500,2010-04-27,41945,Q2 2010,0,0.0,170
16208,21798,36,Defaulted,0.3177,1.0,HR,4.0,Other,Employed,WI,Sales - Retail,False,0.0,1000.0,0.0,4000,2012-08-07,71700,Q3 2012,0,0.0,71
16210,21804,36,Defaulted,0.35,1.0,HR,4.0,Debt Consolidation,Retired,MO,Other,False,10.0,3250.0,0.0,1000,2010-11-17,45352,Q4 2010,0,10.0,24
16213,21807,36,Defaulted,0.1824,4.0,C,3.0,Debt Consolidation,Employed,WI,Professional,True,14.0,4833.333333,0.0,10000,2013-07-05,94419,Q3 2013,0,0.0,161
16217,21811,36,Completed,0.1449,5.0,B,8.0,Debt Consolidation,Employed,CT,Other,True,15.0,3916.666667,0.0,4000,2012-02-23,60924,Q1 2012,0,0.0,72
16221,21818,36,Completed,0.35,1.0,HR,4.0,Auto,Employed,NY,Clerical,False,1.0,3522.166667,0.0,3300,2010-06-23,43118,Q2 2010,0,0.0,92
16223,21821,60,Defaulted,0.3304,2.0,E,1.0,Other,Employed,IN,Tradesman - Mechanic,True,0.0,3750.0,1.0,4000,2012-03-23,62463,Q1 2012,0,0.0,61
16228,21828,36,Completed,0.13,6.0,A,9.0,Debt Consolidation,Employed,TX,Executive,True,0.0,5500.0,0.0,8000,2010-03-29,41545,Q1 2010,0,0.0,282
16232,21833,36,Defaulted,0.3177,1.0,HR,4.0,Debt Consolidation,Employed,KY,Skilled Labor,False,0.0,3333.333333,0.0,4000,2012-09-27,75359,Q3 2012,0,0.0,39
16235,21836,36,Completed,0.1824,4.0,C,5.0,Debt Consolidation,Employed,MN,Skilled Labor,False,33.0,4166.666667,1.0,2100,2013-01-09,81632,Q1 2013,0,1.0,34
16236,21837,36,Completed,0.0625,7.0,AA,10.0,Debt Consolidation,Employed,FL,Computer Programmer,True,2.0,8750.0,1.0,11000,2012-02-22,60818,Q1 2012,0,0.0,259
16249,21853,36,Completed,0.1089,6.0,A,8.0,Debt Consolidation,Employed,TX,Skilled Labor,True,0.0,6333.333333,1.0,13000,2013-08-29,100253,Q3 2013,0,0.0,1
16251,21855,36,Completed,0.08,7.0,AA,10.0,Other,Not employed,VA,Other,False,0.0,0.0,1.0,2000,2009-08-03,38073,Q3 2009,1,0.0,91
16254,21859,36,Completed,0.16,4.0,C,9.0,Debt Consolidation,Employed,OK,Tradesman - Mechanic,True,0.0,2916.666667,1.0,2500,2010-01-14,40388,Q1 2010,0,0.0,102
16255,21860,36,Completed,0.3435,2.0,E,5.0,Debt Consolidation,Employed,OK,Professional,True,0.0,3250.0,0.0,4500,2010-10-04,44659,Q4 2010,0,0.0,129
16261,21866,36,Completed,0.2699,3.0,D,9.0,Home Improvement,Employed,TX,Other,False,0.0,7500.0,0.0,4500,2011-09-19,53412,Q3 2011,0,1.0,90
16263,21868,36,Defaulted,0.3177,1.0,HR,5.0,Debt Consolidation,Employed,MA,Bus Driver,False,22.0,5166.666667,0.0,4000,2012-07-31,71702,Q3 2012,0,1.0,22
16264,21869,36,Completed,0.3177,1.0,HR,1.0,Other,Employed,CA,Other,True,9.0,5000.0,1.0,3500,2012-08-22,72808,Q3 2012,0,0.0,42
16269,21874,60,Defaulted,0.2489,4.0,C,6.0,Other,Employed,IL,Professional,True,0.0,6250.0,0.0,10500,2012-07-12,69551,Q3 2012,0,0.0,23
16270,21875,12,Completed,0.1033,5.0,B,6.0,Other,Employed,NY,Administrative Assistant,False,0.0,2500.0,1.0,2000,2012-11-14,77930,Q4 2012,0,0.0,41
16272,21878,36,Completed,0.1768,5.0,B,8.0,Debt Consolidation,Employed,IL,Other,False,0.0,3666.666667,0.0,9500,2012-06-06,67424,Q2 2012,0,0.0,190
16273,21879,36,Completed,0.0789,7.0,AA,9.0,Debt Consolidation,Employed,VA,Professional,True,0.0,10416.666667,0.0,17300,2012-08-28,73141,Q3 2012,0,0.0,169
16274,21881,36,Completed,0.2593,2.0,E,6.0,Debt Consolidation,Employed,IL,Teacher's Aide,False,0.0,2916.666667,1.0,3000,2010-06-17,43019,Q2 2010,0,1.0,119
16275,21882,36,Completed,0.199,4.0,C,9.0,Other,Employed,NY,Professional,False,1.0,2000.0,1.0,1000,2010-02-12,40821,Q1 2010,0,1.0,46
16276,21883,36,Completed,0.1599,5.0,B,7.0,Debt Consolidation,Employed,NV,Professional,False,15.0,4589.25,0.0,4500,2011-06-24,50395,Q2 2011,0,4.0,87
16278,21886,36,Defaulted,0.3177,1.0,HR,5.0,Debt Consolidation,Employed,MD,Clerical,False,0.0,1666.666667,0.0,2000,2012-06-25,68506,Q2 2012,0,0.0,33
16280,21888,36,Completed,0.0799,7.0,AA,10.0,Business,Employed,CT,Analyst,False,0.0,7083.333333,1.0,25000,2011-10-18,54614,Q4 2011,0,0.0,551
16285,21893,60,Defaulted,0.2085,5.0,B,8.0,Debt Consolidation,Employed,MA,Homemaker,False,60.0,5250.0,0.0,13000,2012-04-25,64363,Q2 2012,0,1.0,207
16287,21895,60,Completed,0.2489,4.0,C,7.0,Debt Consolidation,Employed,MI,Other,False,0.0,2750.0,0.0,15000,2012-07-11,69468,Q3 2012,0,0.0,38
16289,21898,36,Defaulted,0.2859,2.0,E,2.0,Debt Consolidation,Other,MI,Other,False,0.0,1408.25,0.0,4000,2013-05-15,90156,Q2 2013,0,1.0,1
16294,21907,36,Completed,0.3199,2.0,E,5.0,Debt Consolidation,Other,CT,Other,False,17.0,2080.833333,0.0,3000,2011-09-16,53377,Q3 2011,0,0.0,57
16297,21910,36,Completed,0.35,1.0,HR,4.0,Debt Consolidation,Employed,PA,Other,True,0.0,3331.25,0.0,4800,2010-12-16,45914,Q4 2010,0,0.0,47
16298,21912,36,Completed,0.083,7.0,AA,8.0,Debt Consolidation,Employed,OR,Other,True,0.0,3916.666667,0.0,7151,2010-07-30,43767,Q3 2010,0,0.0,284
16301,21915,36,Completed,0.2199,3.0,D,6.0,Home Improvement,Employed,MI,Teacher,True,4.0,4666.666667,0.0,9000,2012-08-21,72348,Q3 2012,0,0.0,111
16306,21920,36,Completed,0.0847,7.0,AA,10.0,Auto,Employed,GA,Executive,False,15.0,6666.666667,2.0,13000,2010-09-28,44572,Q3 2010,0,0.0,383
16307,21922,36,Completed,0.2699,3.0,D,7.0,Debt Consolidation,Other,OH,Other,True,5.0,2000.0,0.0,3500,2011-08-31,52786,Q3 2011,0,0.0,7
16310,21926,60,Defaulted,0.3304,2.0,E,6.0,Debt Consolidation,Employed,GA,Other,False,8.0,2916.666667,0.0,3000,2012-02-24,60973,Q1 2012,0,0.0,53
16316,21933,36,Defaulted,0.35,1.0,HR,3.0,Other,Retired,NY,Other,True,0.0,1539.0,0.0,4000,2010-01-12,40378,Q1 2010,0,0.0,131
16317,21934,36,Completed,0.0825,7.0,AA,10.0,Other,Employed,WA,Other,True,0.0,3750.0,0.0,3000,2010-10-13,44794,Q4 2010,0,0.0,95
16324,21943,36,Completed,0.3177,1.0,HR,5.0,Debt Consolidation,Employed,IN,Professional,False,0.0,3166.666667,0.0,4000,2012-04-25,64265,Q2 2012,0,0.0,9
16326,21946,36,Completed,0.1055,6.0,A,9.0,Other,Employed,AZ,Other,True,0.0,5416.666667,2.0,9000,2011-01-10,46409,Q1 2011,0,0.0,171
16329,21949,36,Completed,0.109,6.0,A,10.0,Auto,Employed,TX,Tradesman - Electrician,True,55.0,6083.333333,0.0,1000,2009-10-27,39161,Q4 2009,0,1.0,35
16330,21950,60,Completed,0.1419,5.0,B,8.0,Home Improvement,Employed,NY,Analyst,True,0.0,6283.333333,0.0,25000,2013-06-05,91767,Q2 2013,0,1.0,368
16331,21952,36,Completed,0.2005,4.0,C,9.0,Other,Employed,NE,Engineer - Electrical,True,29.0,6000.0,0.0,2500,2010-01-14,40392,Q1 2010,0,0.0,69
16333,21955,36,Completed,0.3199,2.0,E,4.0,Other,Self-employed,KY,Other,False,0.0,1000.0,0.0,2000,2011-02-23,47303,Q1 2011,0,0.0,27
16337,21960,36,Completed,0.2199,3.0,D,4.0,Auto,Employed,FL,Administrative Assistant,True,0.0,2416.666667,1.0,3000,2011-05-18,49405,Q2 2011,0,0.0,45
16338,21961,36,Completed,0.3199,2.0,E,5.0,Auto,Employed,CA,Accountant/CPA,False,0.0,2166.666667,0.0,4000,2011-04-14,48558,Q2 2011,0,1.0,64
16347,21974,60,Defaulted,0.2259,4.0,C,5.0,Debt Consolidation,Employed,NY,Analyst,False,0.0,3041.666667,0.0,17500,2013-03-07,85866,Q1 2013,0,0.0,128
16348,21975,36,Defaulted,0.2199,3.0,D,3.0,Business,Self-employed,GA,Other,False,0.0,5533.333333,2.0,14450,2012-07-25,71281,Q3 2012,0,0.0,187
16350,21978,60,Completed,0.1799,5.0,B,8.0,Debt Consolidation,Employed,FL,Analyst,True,0.0,6000.0,0.0,15000,2011-05-19,49446,Q2 2011,0,0.0,275
16357,21986,60,Completed,0.1914,4.0,C,4.0,Debt Consolidation,Employed,MA,Sales - Retail,False,0.0,4000.0,0.0,15000,2013-03-28,87317,Q1 2013,0,0.0,218
16359,21988,36,Completed,0.3199,1.0,HR,3.0,Other,Employed,NM,Sales - Commission,True,0.0,2916.666667,0.0,4000,2011-06-30,50912,Q2 2011,0,1.0,6
16360,21989,36,Completed,0.21,3.0,D,7.0,Other,Employed,NY,Other,False,0.0,2333.333333,1.0,2000,2009-09-04,38417,Q3 2009,0,0.0,119
16362,21991,36,Completed,0.092,6.0,A,9.0,Business,Employed,MD,Military Enlisted,False,2.0,2800.0,0.0,4300,2010-06-15,42970,Q2 2010,0,0.0,119
16363,21992,36,Completed,0.1799,5.0,B,8.0,Other,Employed,CA,Engineer - Electrical,False,0.0,7166.666667,0.0,3000,2011-09-07,53151,Q3 2011,0,0.0,47
16365,21994,60,Defaulted,0.287,3.0,D,5.0,Other,Employed,MI,Postal Service,True,19.0,3500.0,0.0,13000,2012-07-05,69075,Q3 2012,0,0.0,26
16374,22006,36,Completed,0.31,2.0,E,6.0,Debt Consolidation,Employed,TX,Sales - Retail,True,0.0,4275.0,0.0,2000,2010-02-26,41025,Q1 2010,0,0.0,80
16378,22011,36,Defaulted,0.2599,3.0,D,6.0,Debt Consolidation,Employed,NH,Skilled Labor,False,6.0,2500.0,0.0,4587,2011-04-28,48925,Q2 2011,0,3.0,22
16380,22013,36,Completed,0.3177,1.0,HR,4.0,Debt Consolidation,Employed,NC,Analyst,True,9.0,7500.0,0.0,4000,2012-06-28,68840,Q2 2012,0,0.0,72
16382,22015,36,Completed,0.2699,3.0,D,6.0,Debt Consolidation,Employed,IN,Truck Driver,True,13.0,3750.0,0.0,4499,2011-08-30,52633,Q3 2011,0,2.0,67
16388,22022,60,Defaulted,0.2153,4.0,C,2.0,Debt Consolidation,Employed,WI,Sales - Commission,True,0.0,7083.333333,1.0,5000,2012-12-31,79596,Q4 2012,0,0.0,88
16393,22028,36,Defaulted,0.3199,2.0,E,5.0,Debt Consolidation,Employed,MI,Police Officer/Correction Officer,False,0.0,4500.0,0.0,4500,2011-07-15,51265,Q3 2011,0,0.0,10
16397,22032,36,Completed,0.1449,5.0,B,8.0,Other,Employed,WV,Civil Service,True,0.0,8750.0,0.0,5000,2012-03-07,61703,Q1 2012,0,0.0,7
16399,22034,36,Completed,0.35,1.0,HR,5.0,Other,Employed,CA,Food Service,False,0.0,1000.0,0.0,2500,2010-01-29,40674,Q1 2010,0,0.0,83
16400,22036,36,Defaulted,0.3149,2.0,E,4.0,Debt Consolidation,Self-employed,CA,Sales - Commission,False,19.0,2250.0,0.0,7500,2011-10-28,55175,Q4 2011,0,0.0,20
16401,22037,36,Completed,0.0705,7.0,AA,10.0,Debt Consolidation,Employed,DE,Investor,False,0.0,3333.333333,0.0,1000,2010-03-24,41372,Q1 2010,0,0.0,50
16405,22043,36,Defaulted,0.3149,2.0,E,4.0,Debt Consolidation,Employed,OR,Sales - Commission,True,0.0,5000.0,0.0,7500,2011-11-04,55748,Q4 2011,0,1.0,11
16406,22044,36,Completed,0.3125,1.0,HR,3.0,Debt Consolidation,Employed,CA,Other,False,0.0,3430.166667,3.0,3900,2011-07-22,51526,Q3 2011,0,0.0,12
16408,22046,36,Completed,0.18,6.0,A,9.0,Debt Consolidation,Employed,IN,Nurse (RN),True,0.0,4333.333333,1.0,9750,2009-10-30,39245,Q4 2009,0,0.0,165
16410,22048,60,Defaulted,0.2398,4.0,C,7.0,Other,Employed,PA,Skilled Labor,True,0.0,3500.0,0.0,15000,2012-11-16,78035,Q4 2012,0,1.0,230
16411,22051,12,Completed,0.0565,7.0,AA,10.0,Debt Consolidation,Employed,NY,Attorney,False,0.0,8333.333333,0.0,2000,2011-12-30,58433,Q4 2011,0,0.0,50
16413,22053,60,Defaulted,0.1982,5.0,B,4.0,Debt Consolidation,Employed,VA,Other,True,0.0,9319.5,0.0,15000,2013-01-17,82678,Q1 2013,0,0.0,173
16414,22054,60,Defaulted,0.1579,5.0,B,6.0,Home Improvement,Employed,NY,Professional,False,0.0,6250.0,1.0,20000,2013-08-06,98009,Q3 2013,0,0.0,1
16418,22066,36,Completed,0.275,3.0,D,7.0,Debt Consolidation,Employed,IL,Other,False,0.0,6333.333333,0.0,4000,2010-09-30,44628,Q3 2010,0,0.0,97
16420,22068,36,Completed,0.2699,3.0,D,6.0,Other,Employed,NJ,Pilot - Private/Commercial,False,0.0,2500.0,0.0,4000,2011-02-09,47002,Q1 2011,0,0.0,61
16424,22072,36,Completed,0.0825,7.0,AA,10.0,Auto,Employed,TX,Other,True,0.0,4800.0,0.0,7000,2010-08-30,44186,Q3 2010,0,0.0,185
16427,22076,60,Defaulted,0.2747,3.0,D,3.0,Business,Employed,VA,Sales - Retail,True,4.0,6250.0,1.0,15000,2012-07-24,71042,Q3 2012,0,0.0,19
16429,22082,60,Completed,0.2433,4.0,C,6.0,Debt Consolidation,Employed,NC,Administrative Assistant,True,8.0,3655.0,0.0,18000,2012-09-14,74338,Q3 2012,0,0.0,12
16432,22086,36,Completed,0.1414,5.0,B,6.0,Other,Employed,MD,Other,True,18.0,8416.666667,1.0,3000,2013-01-18,82658,Q1 2013,0,1.0,62
16433,22089,36,Completed,0.1874,4.0,C,3.0,Other,Other,CA,Other,False,0.0,5833.333333,2.0,12000,2012-02-28,61224,Q1 2012,0,0.0,28
16438,22096,60,Completed,0.2573,3.0,D,6.0,Other,Employed,WA,Engineer - Electrical,False,0.0,3000.0,0.0,3000,2012-10-10,75983,Q4 2012,0,0.0,50
16440,22099,36,Completed,0.0649,7.0,AA,10.0,Other,Employed,IN,Other,False,0.0,5416.666667,0.0,4000,2012-03-15,62025,Q1 2012,0,0.0,104
16447,22108,36,Defaulted,0.2049,4.0,C,7.0,Debt Consolidation,Employed,CA,Engineer - Electrical,True,6.0,2720.0,0.0,4000,2012-03-21,62264,Q1 2012,0,4.0,71
16450,22111,12,Completed,0.2576,2.0,E,3.0,Home Improvement,Employed,TX,Professional,True,0.0,10500.0,1.0,4000,2011-12-30,58304,Q4 2011,0,1.0,9
16451,22112,60,Completed,0.2579,3.0,D,3.0,Home Improvement,Employed,CT,Skilled Labor,True,0.0,8750.0,0.0,4000,2013-07-18,96023,Q3 2013,0,0.0,1
16454,22116,60,Defaulted,0.261,3.0,D,4.0,Other,Employed,OR,Administrative Assistant,False,0.0,2416.666667,2.0,6500,2012-06-19,68116,Q2 2012,0,0.0,135
16456,22119,36,Completed,0.2599,3.0,D,7.0,Debt Consolidation,Employed,CA,Professional,False,5.0,7267.666667,0.0,2500,2011-03-18,47836,Q1 2011,0,0.0,40
16457,22120,36,Defaulted,0.3127,1.0,HR,2.0,Debt Consolidation,Employed,OK,Clerical,False,0.0,4333.333333,0.0,4000,2011-12-13,57374,Q4 2011,0,0.0,10
16464,22129,36,Completed,0.3199,1.0,HR,2.0,Debt Consolidation,Self-employed,TX,Investor,True,0.0,6000.0,0.0,4000,2011-09-07,53008,Q3 2011,0,0.0,57
16466,22131,36,Completed,0.2711,3.0,D,8.0,Other,Employed,NY,Analyst,True,1.0,5291.666667,0.0,2000,2009-07-30,38059,Q3 2009,0,1.0,57
16467,22132,60,Defaulted,0.3165,2.0,E,6.0,Business,Employed,OH,Laborer,True,0.0,5416.666667,0.0,4000,2012-10-16,75987,Q4 2012,0,2.0,50
16471,22136,36,Defaulted,0.2049,4.0,C,7.0,Debt Consolidation,Employed,MA,Sales - Retail,False,4.0,2000.0,0.0,3000,2012-03-12,61845,Q1 2012,0,2.0,48
16472,22137,36,Completed,0.2552,3.0,D,5.0,Other,Not employed,FL,Other,False,0.0,0.0,0.0,2500,2012-01-27,59521,Q1 2012,0,0.0,41
16483,22150,36,Completed,0.275,3.0,D,8.0,Other,Employed,FL,Clerical,False,17.0,2541.666667,0.0,4000,2010-10-13,44765,Q4 2010,0,0.0,98
16487,22156,60,Completed,0.2489,4.0,C,7.0,Home Improvement,Employed,OH,Engineer - Mechanical,True,0.0,7583.333333,0.0,15000,2012-05-17,65937,Q2 2012,0,0.0,192
16494,22163,36,Completed,0.0799,7.0,AA,10.0,Business,Employed,CA,Computer Programmer,True,0.0,13750.0,1.0,5820,2011-08-22,52408,Q3 2011,0,0.0,76
16495,22164,12,Completed,0.1215,5.0,B,6.0,Home Improvement,Employed,GA,Analyst,True,0.0,6958.333333,0.0,2375,2013-03-19,86692,Q1 2013,0,0.0,1
16498,22170,36,Completed,0.1902,4.0,C,5.0,Other,Employed,CA,Tradesman - Electrician,False,0.0,4000.0,1.0,2000,2012-07-23,70755,Q3 2012,0,0.0,23
16508,22183,60,Defaulted,0.2827,3.0,D,2.0,Debt Consolidation,Employed,CA,Other,True,0.0,3333.333333,0.0,10000,2013-01-10,81751,Q1 2013,0,0.0,128
16510,22185,36,Completed,0.092,6.0,A,9.0,Home Improvement,Employed,GA,Nurse (RN),True,0.0,2916.666667,1.0,3600,2010-03-22,41325,Q1 2010,0,0.0,103
16518,22198,36,Completed,0.3177,1.0,HR,6.0,Other,Employed,NJ,Nurse (RN),False,0.0,5000.0,0.0,4000,2012-12-14,78942,Q4 2012,0,0.0,53
16531,22213,60,Defaulted,0.2005,5.0,B,6.0,Debt Consolidation,Employed,NY,Military Enlisted,False,0.0,6666.666667,1.0,15000,2011-12-28,58139,Q4 2011,1,0.0,221
16539,22226,36,Defaulted,0.35,1.0,HR,5.0,Other,Employed,DE,Administrative Assistant,False,0.0,2987.083333,0.0,2500,2010-12-10,45904,Q4 2010,0,0.0,94
16541,22228,36,Completed,0.1129,6.0,A,10.0,Other,Employed,NY,Other,False,4.0,15416.666667,1.0,4000,2011-09-27,53697,Q3 2011,0,0.0,89
16542,22229,36,Defaulted,0.2599,3.0,D,7.0,Business,Other,IL,Other,False,0.0,7083.333333,0.0,10000,2011-10-28,55184,Q4 2011,0,0.0,60
16547,22234,36,Completed,0.0629,7.0,AA,11.0,Debt Consolidation,Employed,CA,Engineer - Electrical,True,0.0,7916.666667,4.0,2000,2013-12-09,120607,Q4 2013,0,0.0,1
16557,22250,36,Defaulted,0.2599,3.0,D,7.0,Other,Employed,IL,Professional,True,0.0,5583.333333,0.0,2500,2011-05-24,49596,Q2 2011,0,1.0,10
16559,22253,36,Completed,0.1515,5.0,B,8.0,Debt Consolidation,Employed,PA,Professor,True,0.0,5000.0,0.0,10000,2010-09-09,44331,Q3 2010,0,0.0,226
16561,22255,36,Completed,0.3177,1.0,HR,5.0,Other,Employed,OH,Social Worker,True,6.0,3333.333333,0.0,4000,2012-07-23,71003,Q3 2012,0,0.0,8
16563,22258,36,Defaulted,0.2006,4.0,C,10.0,Other,Employed,OH,Other,True,0.0,4083.333333,0.0,1000,2010-06-30,43244,Q2 2010,0,0.0,28
16564,22260,60,Defaulted,0.3304,2.0,E,6.0,Other,Employed,KS,Student - College Freshman,False,0.0,2083.333333,0.0,4000,2012-07-17,70401,Q3 2012,0,0.0,57
16566,22262,36,Completed,0.35,1.0,HR,4.0,Business,Self-employed,ID,Construction,False,3.0,4583.333333,0.0,1500,2010-11-30,45676,Q4 2010,0,0.0,42
16567,22264,36,Completed,0.0765,7.0,AA,10.0,Debt Consolidation,Employed,CA,Executive,False,0.0,5416.666667,1.0,10000,2010-12-30,46366,Q4 2010,0,0.0,92
16572,22271,36,Defaulted,0.2712,2.0,E,2.0,Other,Employed,PA,Other,False,0.0,2416.666667,0.0,2000,2013-01-09,81433,Q1 2013,0,0.0,41
16573,22272,36,Defaulted,0.3099,2.0,E,3.0,Debt Consolidation,Employed,MI,Other,True,5.0,2916.666667,1.0,7500,2011-05-26,49734,Q2 2011,0,3.0,35
16579,22282,36,Completed,0.0799,7.0,AA,10.0,Debt Consolidation,Employed,DC,Civil Service,False,0.0,5552.5,0.0,10000,2011-05-09,49138,Q2 2011,0,0.0,191
16580,22283,36,Completed,0.1153,6.0,A,7.0,Debt Consolidation,Employed,FL,Civil Service,False,0.0,4446.666667,2.0,16000,2012-10-23,76371,Q4 2012,0,0.0,272
16584,22288,36,Completed,0.1664,5.0,B,8.0,Debt Consolidation,Employed,VA,Other,True,0.0,6000.0,0.0,12000,2011-11-28,56466,Q4 2011,0,1.0,8
16586,22291,60,Completed,0.2862,2.0,E,2.0,Home Improvement,Self-employed,CT,Other,True,0.0,5000.0,0.0,4000,2013-07-22,96209,Q3 2013,0,0.0,1
16587,22292,12,Completed,0.2001,3.0,D,7.0,Other,Employed,OH,Professional,True,9.0,7916.666667,0.0,3500,2012-12-26,79772,Q4 2012,0,0.0,69
16588,22293,60,Completed,0.2085,5.0,B,9.0,Home Improvement,Employed,MD,Other,True,0.0,7419.416667,0.0,6000,2012-06-20,68231,Q2 2012,0,0.0,1
16591,22298,36,Completed,0.34,2.0,E,6.0,Other,Employed,CA,Professional,True,20.0,5416.666667,0.0,1000,2010-07-19,43523,Q3 2010,0,8.0,29
